R4,R3,R2b,R2
PaymentReconciliation.outcome,PaymentReconciliation.outcome,PaymentReconciliation.outcome,
PaymentReconciliation.payment-issuer,,,
PaymentReconciliation.request,PaymentReconciliation.request,PaymentReconciliation.requestidentifier,
PaymentReconciliation.requestor,PaymentReconciliation.request-organization,PaymentReconciliation.requestorganizationidentifier,
,,PaymentReconciliation.requestorganizationreference,
,PaymentReconciliation.request-provider,PaymentReconciliation.requestprovideridentifier,
,,PaymentReconciliation.requestproviderreference,
,,PaymentReconciliation.requestreference,
PaymentReconciliation.status,,,
Person,Person,Person,Person
Person.address,Person.address,Person.address,Person.address
Person.address-city,Person.address-city,Person.address-city,Person.address-city
Person.address-country,Person.address-country,Person.address-country,Person.address-country
Person.address-postalcode,Person.address-postalcode,Person.address-postalcode,Person.address-postalcode
Person.address-state,Person.address-state,Person.address-state,Person.address-state
Person.address-use,Person.address-use,Person.address-use,Person.address-use
Person.birthdate,Person.birthdate,Person.birthdate,Person.birthdate
Person.email,Person.email,Person.email,Person.email
Person.gender,Person.gender,Person.gender,Person.gender
Person.identifier,Person.identifier,Person.identifier,Person.identifier
Person.link,Person.link,Person.link,Person.link
Person.name,Person.name,Person.name,Person.name
Person.organization,Person.organization,Person.organization,Person.organization
Person.patient,Person.patient,Person.patient,Person.patient
Person.phone,Person.phone,Person.phone,Person.phone
Person.phonetic,Person.phonetic,Person.phonetic,Person.phonetic
Person.practitioner,Person.practitioner,Person.practitioner,Person.practitioner
Person.relatedperson,Person.relatedperson,Person.relatedperson,Person.relatedperson
Person.telecom,Person.telecom,Person.telecom,Person.telecom
PlanDefinition,PlanDefinition,,
PlanDefinition.composed-of,PlanDefinition.composed-of,,
PlanDefinition.context,,,
PlanDefinition.context-quantity,,,
PlanDefinition.context-type,,,
PlanDefinition.context-type-quantity,,,
PlanDefinition.context-type-value,,,
PlanDefinition.date,PlanDefinition.date,,
PlanDefinition.definition,,,
PlanDefinition.depends-on,PlanDefinition.depends-on,,
PlanDefinition.derived-from,PlanDefinition.derived-from,,
PlanDefinition.description,PlanDefinition.description,,
PlanDefinition.effective,PlanDefinition.effective,,
PlanDefinition.identifier,PlanDefinition.identifier,,
PlanDefinition.jurisdiction,PlanDefinition.jurisdiction,,
PlanDefinition.name,PlanDefinition.name,,
PlanDefinition.predecessor,PlanDefinition.predecessor,,
PlanDefinition.publisher,PlanDefinition.publisher,,
PlanDefinition.status,PlanDefinition.status,,
PlanDefinition.successor,PlanDefinition.successor,,
PlanDefinition.title,PlanDefinition.title,,
PlanDefinition.topic,PlanDefinition.topic,,
PlanDefinition.type,,,
PlanDefinition.url,PlanDefinition.url,,
PlanDefinition.version,PlanDefinition.version,,
Practitioner,Practitioner,Practitioner,Practitioner
Practitioner.active,Practitioner.active,,
Practitioner.address,Practitioner.address,Practitioner.address,Practitioner.address
Practitioner.address-city,Practitioner.address-city,Practitioner.address-city,Practitioner.address-city
Practitioner.address-country,Practitioner.address-country,Practitioner.address-country,Practitioner.address-country
Practitioner.address-postalcode,Practitioner.address-postalcode,Practitioner.address-postalcode,Practitioner.address-postalcode
Practitioner.address-state,Practitioner.address-state,Practitioner.address-state,Practitioner.address-state
Practitioner.address-use,Practitioner.address-use,Practitioner.address-use,Practitioner.address-use
Practitioner.communication,Practitioner.communication,Practitioner.communication,Practitioner.communication
Practitioner.email,Practitioner.email,Practitioner.email,Practitioner.email
Practitioner.family,Practitioner.family,Practitioner.family,Practitioner.family
Practitioner.gender,Practitioner.gender,Practitioner.gender,Practitioner.gender
Practitioner.given,Practitioner.given,Practitioner.given,Practitioner.given
Practitioner.identifier,Practitioner.identifier,Practitioner.identifier,Practitioner.identifier
,,Practitioner.location,Practitioner.location
Practitioner.name,Practitioner.name,Practitioner.name,Practitioner.name
,,Practitioner.organization,Practitioner.organization
Practitioner.phone,Practitioner.phone,Practitioner.phone,Practitioner.phone
Practitioner.phonetic,Practitioner.phonetic,Practitioner.phonetic,Practitioner.phonetic
Practitioner.telecom,Practitioner.telecom,Practitioner.role,Practitioner.role
,,Practitioner.specialty,Practitioner.specialty
,,Practitioner.telecom,Practitioner.telecom
PractitionerRole,PractitionerRole,PractitionerRole,
PractitionerRole.active,PractitionerRole.active,,
PractitionerRole.date,PractitionerRole.date,,
PractitionerRole.email,PractitionerRole.email,PractitionerRole.email,
PractitionerRole.endpoint,PractitionerRole.endpoint,,
PractitionerRole.identifier,PractitionerRole.identifier,PractitionerRole.identifier,
PractitionerRole.location,PractitionerRole.location,PractitionerRole.location,
PractitionerRole.organization,PractitionerRole.organization,PractitionerRole.organization,
PractitionerRole.phone,PractitionerRole.phone,PractitionerRole.phone,
PractitionerRole.practitioner,PractitionerRole.practitioner,PractitionerRole.practitioner,
PractitionerRole.role,PractitionerRole.role,PractitionerRole.role,
PractitionerRole.service,PractitionerRole.service,PractitionerRole.specialty,
PractitionerRole.specialty,PractitionerRole.specialty,,
PractitionerRole.telecom,PractitionerRole.telecom,PractitionerRole.telecom,
Procedure,Procedure,Procedure,Procedure
Procedure.based-on,Procedure.based-on,,
Procedure.category,Procedure.category,,
Procedure.code,Procedure.code,Procedure.code,Procedure.code
,Procedure.context,,
Procedure.date,Procedure.date,Procedure.date,Procedure.date
,Procedure.definition,,
Procedure.encounter,Procedure.encounter,Procedure.encounter,Procedure.encounter
Procedure.identifier,Procedure.identifier,Procedure.identifier,Procedure.identifier
Procedure.instantiates-canonical,,,
Procedure.instantiates-uri,,,
Procedure.location,Procedure.location,Procedure.location,Procedure.location
Procedure.part-of,Procedure.part-of,,
Procedure.patient,Procedure.patient,Procedure.patient,Procedure.patient
Procedure.performer,Procedure.performer,Procedure.performer,Procedure.performer
Procedure.reason-code,,,
Procedure.reason-reference,,,
Procedure.status,Procedure.status,,
Procedure.subject,Procedure.subject,Procedure.subject,Procedure.subject
,ProcessRequest,ProcessRequest,ProcessRequest
,ProcessRequest.action,ProcessRequest.action,ProcessRequest.action
,ProcessRequest.identifier,ProcessRequest.identifier,ProcessRequest.identifier
,ProcessRequest.organization,ProcessRequest.organizationidentifier,ProcessRequest.organization
,,ProcessRequest.organizationreference,ProcessRequest.provider
,ProcessRequest.provider,ProcessRequest.provideridentifier,
,,ProcessRequest.providerreference,
,ProcessResponse,ProcessResponse,ProcessResponse
,ProcessResponse.identifier,ProcessResponse.identifier,ProcessResponse.identifier
,ProcessResponse.organization,ProcessResponse.organizationidentifier,ProcessResponse.organization
,ProcessResponse.request,ProcessResponse.organizationreference,ProcessResponse.request
,ProcessResponse.request-organization,ProcessResponse.requestidentifier,ProcessResponse.requestorganization
,ProcessResponse.request-provider,ProcessResponse.requestorganizationidentifier,ProcessResponse.requestprovider
,,ProcessResponse.requestorganizationreference,
,,ProcessResponse.requestprovideridentifier,
,,ProcessResponse.requestproviderreference,
,,ProcessResponse.requestreference,
,,Protocol,
,,Protocol.identifier,
,,Protocol.subject,
Provenance,Provenance,Provenance,Provenance
Provenance.agent,Provenance.agent,Provenance.agent,Provenance.agent
Provenance.agent-role,Provenance.agent-role,,
Provenance.agent-type,,,
,Provenance.end,Provenance.end,Provenance.end
Provenance.entity,Provenance.entity-id,Provenance.entity,Provenance.entity
,Provenance.entity-ref,,
,,Provenance.entity-type,Provenance.entitytype
Provenance.location,Provenance.location,Provenance.location,Provenance.location
Provenance.patient,Provenance.patient,Provenance.patient,Provenance.patient
Provenance.recorded,Provenance.recorded,,
Provenance.signature-type,Provenance.signature-type,Provenance.sig,Provenance.sigtype
Provenance.when,Provenance.start,Provenance.start,Provenance.start
Provenance.target,Provenance.target,Provenance.target,Provenance.target
,,Provenance.userid,Provenance.userid
Questionnaire,Questionnaire,Questionnaire,Questionnaire
Questionnaire.code,Questionnaire.code,Questionnaire.code,Questionnaire.code
Questionnaire.context,,Questionnaire.context,
Questionnaire.context-quantity,,,
Questionnaire.context-type,,,
Questionnaire.context-type-quantity,,,
Questionnaire.context-type-value,,,
Questionnaire.date,Questionnaire.date,Questionnaire.date,Questionnaire.date
Questionnaire.definition,,,
Questionnaire.description,Questionnaire.description,,
Questionnaire.effective,Questionnaire.effective,,
Questionnaire.identifier,Questionnaire.identifier,Questionnaire.identifier,Questionnaire.identifier
Questionnaire.jurisdiction,Questionnaire.jurisdiction,,
Questionnaire.name,Questionnaire.name,,
Questionnaire.publisher,Questionnaire.publisher,Questionnaire.publisher,Questionnaire.publisher
Questionnaire.status,Questionnaire.status,Questionnaire.status,Questionnaire.status
Questionnaire.subject-type,,,
Questionnaire.title,Questionnaire.title,Questionnaire.title,Questionnaire.title
Questionnaire.url,Questionnaire.url,,
Questionnaire.version,Questionnaire.version,Questionnaire.version,Questionnaire.version
QuestionnaireResponse,QuestionnaireResponse,QuestionnaireResponse,QuestionnaireResponse
QuestionnaireResponse.author,QuestionnaireResponse.author,QuestionnaireResponse.author,QuestionnaireResponse.author
QuestionnaireResponse.authored,QuestionnaireResponse.authored,QuestionnaireResponse.authored,QuestionnaireResponse.authored
QuestionnaireResponse.based-on,QuestionnaireResponse.based-on,,
QuestionnaireResponse.encounter,QuestionnaireResponse.context,QuestionnaireResponse.encounter,QuestionnaireResponse.encounter
QuestionnaireResponse.identifier,QuestionnaireResponse.identifier,,
QuestionnaireResponse.part-of,QuestionnaireResponse.parent,,
QuestionnaireResponse.patient,QuestionnaireResponse.patient,QuestionnaireResponse.patient,QuestionnaireResponse.patient
QuestionnaireResponse.questionnaire,QuestionnaireResponse.questionnaire,QuestionnaireResponse.questionnaire,QuestionnaireResponse.questionnaire
QuestionnaireResponse.source,QuestionnaireResponse.source,QuestionnaireResponse.source,QuestionnaireResponse.source
QuestionnaireResponse.status,QuestionnaireResponse.status,QuestionnaireResponse.status,QuestionnaireResponse.status
QuestionnaireResponse.subject,QuestionnaireResponse.subject,QuestionnaireResponse.subject,QuestionnaireResponse.subject
RelatedPerson,RelatedPerson,RelatedPerson,RelatedPerson
RelatedPerson.active,RelatedPerson.active,,
RelatedPerson.address,RelatedPerson.address,RelatedPerson.address,RelatedPerson.address
RelatedPerson.address-city,RelatedPerson.address-city,RelatedPerson.address-city,RelatedPerson.address-city
RelatedPerson.address-country,RelatedPerson.address-country,RelatedPerson.address-country,RelatedPerson.address-country
RelatedPerson.address-postalcode,RelatedPerson.address-postalcode,RelatedPerson.address-postalcode,RelatedPerson.address-postalcode
RelatedPerson.address-state,RelatedPerson.address-state,RelatedPerson.address-state,RelatedPerson.address-state
RelatedPerson.address-use,RelatedPerson.address-use,RelatedPerson.address-use,RelatedPerson.address-use
RelatedPerson.birthdate,RelatedPerson.birthdate,RelatedPerson.birthdate,RelatedPerson.birthdate
RelatedPerson.email,RelatedPerson.email,RelatedPerson.email,RelatedPerson.email
RelatedPerson.gender,RelatedPerson.gender,RelatedPerson.gender,RelatedPerson.gender
RelatedPerson.identifier,RelatedPerson.identifier,RelatedPerson.identifier,RelatedPerson.identifier
RelatedPerson.name,RelatedPerson.name,RelatedPerson.name,RelatedPerson.name
RelatedPerson.patient,RelatedPerson.patient,RelatedPerson.patient,RelatedPerson.patient
RelatedPerson.phone,RelatedPerson.phone,RelatedPerson.phone,RelatedPerson.phone
RelatedPerson.phonetic,RelatedPerson.phonetic,RelatedPerson.phonetic,RelatedPerson.phonetic
RelatedPerson.relationship,,,
RelatedPerson.telecom,RelatedPerson.telecom,RelatedPerson.telecom,RelatedPerson.telecom
RequestGroup,RequestGroup,,
RequestGroup.author,RequestGroup.author,,
RequestGroup.authored,RequestGroup.authored,,
RequestGroup.code,,,
RequestGroup.encounter,RequestGroup.context,,
,RequestGroup.definition,,
,RequestGroup.encounter,,
RequestGroup.group-identifier,RequestGroup.group-identifier,,
RequestGroup.identifier,RequestGroup.identifier,,
RequestGroup.instantiates-canonical,,,
RequestGroup.instantiates-uri,,,
RequestGroup.intent,RequestGroup.intent,,
RequestGroup.participant,RequestGroup.participant,,
RequestGroup.patient,RequestGroup.patient,,
RequestGroup.priority,RequestGroup.priority,,
RequestGroup.status,RequestGroup.status,,
RequestGroup.subject,RequestGroup.subject,,
ResearchDefinition,,,
ResearchDefinition.composed-of,,,
ResearchDefinition.context,,,
ResearchDefinition.context-quantity,,,
ResearchDefinition.context-type,,,
ResearchDefinition.context-type-quantity,,,
ResearchDefinition.context-type-value,,,
ResearchDefinition.date,,,
ResearchDefinition.depends-on,,,
ResearchDefinition.derived-from,,,
ResearchDefinition.description,,,
ResearchDefinition.effective,,,
ResearchDefinition.identifier,,,
ResearchDefinition.jurisdiction,,,
ResearchDefinition.name,,,
ResearchDefinition.predecessor,,,
ResearchDefinition.publisher,,,
ResearchDefinition.status,,,
ResearchDefinition.successor,,,
ResearchDefinition.title,,,
ResearchDefinition.topic,,,
ResearchDefinition.url,,,
ResearchDefinition.version,,,
ResearchElementDefinition,,,
ResearchElementDefinition.composed-of,,,
ResearchElementDefinition.context,,,
ResearchElementDefinition.context-quantity,,,
ResearchElementDefinition.context-type,,,
ResearchElementDefinition.context-type-quantity,,,
ResearchElementDefinition.context-type-value,,,
ResearchElementDefinition.date,,,
ResearchElementDefinition.depends-on,,,
ResearchElementDefinition.derived-from,,,
ResearchElementDefinition.description,,,
ResearchElementDefinition.effective,,,
ResearchElementDefinition.identifier,,,
ResearchElementDefinition.jurisdiction,,,
ResearchElementDefinition.name,,,
ResearchElementDefinition.predecessor,,,
ResearchElementDefinition.publisher,,,
ResearchElementDefinition.status,,,
ResearchElementDefinition.successor,,,
ResearchElementDefinition.title,,,
ResearchElementDefinition.topic,,,
ResearchElementDefinition.url,,,
ResearchElementDefinition.version,,,
ResearchStudy,ResearchStudy,,
ResearchStudy.category,ResearchStudy.category,,
ResearchStudy.date,ResearchStudy.date,,
ResearchStudy.focus,ResearchStudy.focus,,
ResearchStudy.identifier,ResearchStudy.identifier,,
,ResearchStudy.jurisdiction,,
ResearchStudy.keyword,ResearchStudy.keyword,,
ResearchStudy.location,,,
ResearchStudy.partof,ResearchStudy.partof,,
ResearchStudy.principalinvestigator,ResearchStudy.principalinvestigator,,
ResearchStudy.protocol,ResearchStudy.protocol,,
ResearchStudy.site,ResearchStudy.site,,
ResearchStudy.sponsor,ResearchStudy.sponsor,,
ResearchStudy.status,ResearchStudy.status,,
ResearchStudy.title,ResearchStudy.title,,
ResearchSubject,ResearchSubject,,
ResearchSubject.date,ResearchSubject.date,,
ResearchSubject.identifier,ResearchSubject.identifier,,
ResearchSubject.individual,ResearchSubject.individual,,
ResearchSubject.patient,ResearchSubject.patient,,
ResearchSubject.status,ResearchSubject.status,,
ResearchSubject.study,,,
RiskAssessment,RiskAssessment,RiskAssessment,RiskAssessment
RiskAssessment.condition,RiskAssessment.condition,RiskAssessment.condition,RiskAssessment.condition
RiskAssessment.date,RiskAssessment.date,RiskAssessment.date,RiskAssessment.date
RiskAssessment.encounter,RiskAssessment.encounter,RiskAssessment.encounter,RiskAssessment.encounter
RiskAssessment.identifier,RiskAssessment.identifier,RiskAssessment.identifier,RiskAssessment.identifier
RiskAssessment.method,RiskAssessment.method,RiskAssessment.method,RiskAssessment.method
RiskAssessment.patient,RiskAssessment.patient,RiskAssessment.patient,RiskAssessment.patient
RiskAssessment.performer,RiskAssessment.performer,RiskAssessment.performer,RiskAssessment.performer
RiskAssessment.probability,RiskAssessment.probability,,
RiskAssessment.risk,RiskAssessment.risk,,
RiskAssessment.subject,RiskAssessment.subject,RiskAssessment.subject,RiskAssessment.subject
RiskEvidenceSynthesis,,,
RiskEvidenceSynthesis.context,,,
RiskEvidenceSynthesis.context-quantity,,,
RiskEvidenceSynthesis.context-type,,,
RiskEvidenceSynthesis.context-type-quantity,,,
RiskEvidenceSynthesis.context-type-value,,,
RiskEvidenceSynthesis.date,,,
RiskEvidenceSynthesis.description,,,
RiskEvidenceSynthesis.effective,,,
RiskEvidenceSynthesis.identifier,,,
RiskEvidenceSynthesis.jurisdiction,,,
RiskEvidenceSynthesis.name,,,
RiskEvidenceSynthesis.publisher,,,
RiskEvidenceSynthesis.status,,,
RiskEvidenceSynthesis.title,,,
RiskEvidenceSynthesis.url,,,
RiskEvidenceSynthesis.version,,,
Schedule,Schedule,Schedule,Schedule
Schedule.active,Schedule.active,,
Schedule.actor,Schedule.actor,Schedule.actor,Schedule.actor
Schedule.date,Schedule.date,Schedule.date,Schedule.date
Schedule.identifier,Schedule.identifier,Schedule.identifier,Schedule.identifier
Schedule.service-category,,,
Schedule.service-type,Schedule.type,Schedule.type,Schedule.type
Schedule.specialty,,,
SearchParameter,SearchParameter,SearchParameter,SearchParameter
SearchParameter.base,SearchParameter.base,SearchParameter.base,SearchParameter.base
SearchParameter.code,SearchParameter.code,SearchParameter.code,SearchParameter.code
SearchParameter.component,SearchParameter.component,,
SearchParameter.context,,SearchParameter.context,
SearchParameter.context-quantity,,,
SearchParameter.context-type,,,
SearchParameter.context-type-quantity,,,
SearchParameter.context-type-value,,,
SearchParameter.date,SearchParameter.date,,
SearchParameter.derived-from,SearchParameter.derived-from,,
SearchParameter.description,SearchParameter.description,SearchParameter.description,SearchParameter.description
SearchParameter.jurisdiction,SearchParameter.jurisdiction,,
SearchParameter.name,SearchParameter.name,SearchParameter.name,SearchParameter.name
SearchParameter.publisher,SearchParameter.publisher,,
SearchParameter.status,SearchParameter.status,,
SearchParameter.target,SearchParameter.target,SearchParameter.target,SearchParameter.target
SearchParameter.type,SearchParameter.type,SearchParameter.type,SearchParameter.type
SearchParameter.url,SearchParameter.url,SearchParameter.url,SearchParameter.url
SearchParameter.version,SearchParameter.version,,
,Sequence,Sequence,
,Sequence.chromosome,Sequence.chromosome,
,Sequence.coordinate,Sequence.coordinate,
,Sequence.end,Sequence.end,
,Sequence.identifier,Sequence.patient,
,Sequence.patient,Sequence.species,
,Sequence.start,Sequence.start,
,Sequence.type,Sequence.type,
,ServiceDefinition,,
,ServiceDefinition.composed-of,,
,ServiceDefinition.date,,
,ServiceDefinition.depends-on,,
,ServiceDefinition.derived-from,,
,ServiceDefinition.description,,
,ServiceDefinition.effective,,
,ServiceDefinition.identifier,,
,ServiceDefinition.jurisdiction,,
,ServiceDefinition.name,,
,ServiceDefinition.predecessor,,
,ServiceDefinition.publisher,,
,ServiceDefinition.status,,
,ServiceDefinition.successor,,
,ServiceDefinition.title,,
,ServiceDefinition.topic,,
,ServiceDefinition.url,,
,ServiceDefinition.version,,
Slot,Slot,Slot,Slot
Slot.appointment-type,,,
,,,Slot.fb-type
Slot.identifier,Slot.identifier,Slot.identifier,Slot.identifier
Slot.schedule,Slot.schedule,Slot.schedule,Slot.schedule
Slot.service-category,,,
Slot.service-type,Slot.slot-type,Slot.slot-type,Slot.slot-type
Slot.specialty,,,
Slot.start,Slot.start,Slot.start,Slot.start
Slot.status,Slot.status,Slot.status,
Specimen,Specimen,Specimen,Specimen
Specimen.accession,Specimen.accession,Specimen.accession,Specimen.accession
Specimen.bodysite,Specimen.bodysite,Specimen.bodysite,Specimen.bodysite
Specimen.collected,Specimen.collected,Specimen.collected,Specimen.collected
Specimen.collector,Specimen.collector,Specimen.collector,Specimen.collector
Specimen.container,Specimen.container,Specimen.container,Specimen.container
Specimen.container-id,Specimen.container-id,Specimen.container-id,Specimen.container-id
Specimen.identifier,Specimen.identifier,Specimen.identifier,Specimen.identifier
Specimen.parent,Specimen.parent,Specimen.parent,Specimen.parent
Specimen.patient,Specimen.patient,Specimen.patient,Specimen.patient
Specimen.status,Specimen.status,,
Specimen.subject,Specimen.subject,Specimen.subject,Specimen.subject
Specimen.type,Specimen.type,Specimen.type,Specimen.type
SpecimenDefinition,,,
SpecimenDefinition.container,,,
SpecimenDefinition.identifier,,,
SpecimenDefinition.type,,,
StructureDefinition,StructureDefinition,StructureDefinition,StructureDefinition
StructureDefinition.abstract,StructureDefinition.abstract,StructureDefinition.abstract,StructureDefinition.abstract
StructureDefinition.base,StructureDefinition.base,StructureDefinition.base,StructureDefinition.base
StructureDefinition.base-path,StructureDefinition.base-path,StructureDefinition.base-path,StructureDefinition.base-path
,,StructureDefinition.code,StructureDefinition.code
StructureDefinition.context,,StructureDefinition.context,StructureDefinition.context
StructureDefinition.context-quantity,,,
StructureDefinition.context-type,StructureDefinition.context-type,StructureDefinition.context-type,StructureDefinition.context-type
StructureDefinition.context-type-quantity,,,
StructureDefinition.context-type-value,,,
StructureDefinition.date,StructureDefinition.date,StructureDefinition.date,StructureDefinition.date
StructureDefinition.derivation,StructureDefinition.derivation,StructureDefinition.derivation,
StructureDefinition.description,StructureDefinition.description,StructureDefinition.description,StructureDefinition.description
,,StructureDefinition.display,StructureDefinition.display
StructureDefinition.experimental,StructureDefinition.experimental,StructureDefinition.experimental,StructureDefinition.experimental
StructureDefinition.ext-context,StructureDefinition.ext-context,StructureDefinition.ext-context,StructureDefinition.ext-context
StructureDefinition.identifier,StructureDefinition.identifier,StructureDefinition.identifier,StructureDefinition.identifier
StructureDefinition.jurisdiction,StructureDefinition.jurisdiction,,
StructureDefinition.keyword,StructureDefinition.keyword,,
StructureDefinition.kind,StructureDefinition.kind,StructureDefinition.kind,StructureDefinition.kind
StructureDefinition.name,StructureDefinition.name,StructureDefinition.name,StructureDefinition.name
StructureDefinition.path,StructureDefinition.path,StructureDefinition.path,StructureDefinition.path
StructureDefinition.publisher,StructureDefinition.publisher,StructureDefinition.publisher,StructureDefinition.publisher
StructureDefinition.status,StructureDefinition.status,StructureDefinition.status,StructureDefinition.status
StructureDefinition.title,StructureDefinition.title,,
StructureDefinition.type,StructureDefinition.type,StructureDefinition.type,StructureDefinition.type
StructureDefinition.url,StructureDefinition.url,StructureDefinition.url,StructureDefinition.url
StructureDefinition.valueset,StructureDefinition.valueset,StructureDefinition.valueset,StructureDefinition.valueset
StructureDefinition.version,StructureDefinition.version,StructureDefinition.version,StructureDefinition.version
StructureMap,StructureMap,StructureMap,
StructureMap.context,,StructureMap.context,
StructureMap.context-quantity,,,
StructureMap.context-type,,,
StructureMap.context-type-quantity,,,
StructureMap.context-type-value,,,
StructureMap.date,StructureMap.date,StructureMap.date,
StructureMap.description,StructureMap.description,StructureMap.description,
,,StructureMap.experimental,
StructureMap.identifier,StructureMap.identifier,StructureMap.identifier,
StructureMap.jurisdiction,StructureMap.jurisdiction,,
StructureMap.name,StructureMap.name,StructureMap.name,
StructureMap.publisher,StructureMap.publisher,StructureMap.publisher,
StructureMap.status,StructureMap.status,StructureMap.status,
StructureMap.title,StructureMap.title,,
StructureMap.url,StructureMap.url,StructureMap.url,
StructureMap.version,StructureMap.version,StructureMap.version,
Subscription,Subscription,Subscription,Subscription
,Subscription.add-tag,Subscription.tag,Subscription.tag
Subscription.contact,Subscription.contact,Subscription.contact,Subscription.contact
Subscription.criteria,Subscription.criteria,Subscription.criteria,Subscription.criteria
Subscription.payload,Subscription.payload,Subscription.payload,Subscription.payload
Subscription.status,Subscription.status,Subscription.status,Subscription.status
Subscription.type,Subscription.type,Subscription.type,Subscription.type
Subscription.url,Subscription.url,Subscription.url,Subscription.url
Substance,Substance,Substance,Substance
Substance.category,Substance.category,Substance.category,Substance.category
Substance.code,Substance.code,Substance.code,Substance.code
Substance.container-identifier,Substance.container-identifier,Substance.container-identifier,Substance.container-identifier
Substance.expiry,Substance.expiry,Substance.expiry,Substance.expiry
Substance.identifier,Substance.identifier,Substance.identifier,Substance.identifier
Substance.quantity,Substance.quantity,Substance.quantity,Substance.quantity
Substance.status,Substance.status,,
Substance.substance-reference,Substance.substance-reference,Substance.substance,Substance.substance
SubstanceSpecification,,,
SubstanceSpecification.code,,,
SupplyDelivery,SupplyDelivery,SupplyDelivery,SupplyDelivery
SupplyDelivery.identifier,SupplyDelivery.identifier,SupplyDelivery.identifier,SupplyDelivery.identifier
SupplyDelivery.patient,SupplyDelivery.patient,SupplyDelivery.patient,SupplyDelivery.patient
SupplyDelivery.receiver,SupplyDelivery.receiver,SupplyDelivery.receiver,SupplyDelivery.receiver
SupplyDelivery.status,SupplyDelivery.status,SupplyDelivery.status,SupplyDelivery.status
SupplyDelivery.supplier,SupplyDelivery.supplier,SupplyDelivery.supplier,SupplyDelivery.supplier
SupplyRequest,SupplyRequest,SupplyRequest,SupplyRequest
SupplyRequest.category,SupplyRequest.category,,
SupplyRequest.date,SupplyRequest.date,SupplyRequest.date,SupplyRequest.date
SupplyRequest.identifier,SupplyRequest.identifier,SupplyRequest.identifier,SupplyRequest.identifier
,,SupplyRequest.kind,SupplyRequest.kind
,,SupplyRequest.patient,SupplyRequest.patient
SupplyRequest.requester,SupplyRequest.requester,SupplyRequest.source,SupplyRequest.source
SupplyRequest.status,SupplyRequest.status,SupplyRequest.status,SupplyRequest.status
SupplyRequest.subject,,,
SupplyRequest.supplier,SupplyRequest.supplier,SupplyRequest.supplier,SupplyRequest.supplier
Task,Task,Task,
Task.authored-on,Task.authored-on,,
Task.based-on,Task.based-on,Task.definition,
Task.business-status,Task.business-status,,
Task.code,Task.code,Task.type,
,,Task.created,
,,Task.creator,
,,Task.failure,
Task.encounter,Task.context,,
Task.focus,Task.focus,,
Task.group-identifier,Task.group-identifier,,
Task.identifier,Task.identifier,Task.identifier,
Task.intent,Task.intent,,
Task.modified,Task.modified,Task.modified,
,Task.organization,,
Task.owner,Task.owner,Task.owner,
Task.part-of,Task.part-of,Task.parent,
Task.patient,Task.patient,,
Task.performer,Task.performer,Task.performer,
Task.period,Task.period,,
Task.priority,Task.priority,Task.priority,
Task.requester,Task.requester,,
Task.status,Task.status,Task.status,
Task.subject,Task.subject,Task.subject,
TerminologyCapabilities,,,
TerminologyCapabilities.context,,,
TerminologyCapabilities.context-quantity,,,
TerminologyCapabilities.context-type,,,
TerminologyCapabilities.context-type-quantity,,,
TerminologyCapabilities.context-type-value,,,
TerminologyCapabilities.date,,,
TerminologyCapabilities.description,,,
TerminologyCapabilities.jurisdiction,,,
TerminologyCapabilities.name,,,
TerminologyCapabilities.publisher,,,
TerminologyCapabilities.status,,,
TerminologyCapabilities.title,,,
TerminologyCapabilities.url,,,
TerminologyCapabilities.version,,,
TestReport,TestReport,,
TestReport.identifier,TestReport.identifier,,
TestReport.issued,TestReport.issued,,
TestReport.participant,TestReport.participant,,
TestReport.result,TestReport.result,,
TestReport.tester,TestReport.tester,,
TestReport.testscript,TestReport.testscript,,
TestScript,TestScript,TestScript,TestScript
TestScript.context,,,
TestScript.context-quantity,,,
TestScript.context-type,,,
TestScript.context-type-quantity,,,
TestScript.context-type-value,,,
TestScript.date,TestScript.date,,
TestScript.description,TestScript.description,TestScript.description,TestScript.description
TestScript.identifier,TestScript.identifier,TestScript.identifier,TestScript.identifier
TestScript.jurisdiction,TestScript.jurisdiction,,
TestScript.name,TestScript.name,TestScript.name,TestScript.name
TestScript.publisher,TestScript.publisher,,
TestScript.status,TestScript.status,,
TestScript.testscript-capability,TestScript.testscript-capability,TestScript.testscript-capability,TestScript.testscript-capability
,,TestScript.testscript-setup-capability,TestScript.testscript-setup-capability
,,TestScript.testscript-test-capability,TestScript.testscript-test-capability
TestScript.title,TestScript.title,,
TestScript.url,TestScript.url,TestScript.url,TestScript.url
TestScript.version,TestScript.version,,
ValueSet,ValueSet,ValueSet,ValueSet
ValueSet.code,ValueSet.date,ValueSet.context,
,,,ValueSet.code
ValueSet.context,,,ValueSet.context
ValueSet.context-quantity,,,
ValueSet.context-type,,,
ValueSet.context-type-quantity,,,
ValueSet.context-type-value,,,
ValueSet.date,,ValueSet.date,ValueSet.date
ValueSet.description,ValueSet.description,ValueSet.description,ValueSet.description
ValueSet.expansion,ValueSet.expansion,ValueSet.expansion,ValueSet.expansion
ValueSet.identifier,ValueSet.identifier,ValueSet.identifier,ValueSet.identifier
ValueSet.jurisdiction,ValueSet.jurisdiction,,
ValueSet.name,ValueSet.name,ValueSet.name,ValueSet.name
